NOC2016,NOC2016_Title,Change_type,NOC2021,NOC2021_Title,Notes
1123,"Professional occupations in advertising, marketing and public relations","RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",11202,"Professional occupations in advertising, marketing and public relations",1123 continues as 11202 and part transferred to 11201 and 64409
1123,"Professional occupations in advertising, marketing and public relations","RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",64409,Other customer and information services representatives,1123 continues as 11202 and part transferred to 11201 and 64409
1211,"Supervisors, general office and administrative support workers","VC1 - Code Change, VC2 - Name Change",12010,"Supervisors, general office and administrative support workers",
1212,"Supervisors, finance and insurance office workers","VC1 - Code Change, VC2 - Name Change",12011,"Supervisors, finance and insurance office workers",
1213,"Supervisors, library, correspondence and related information workers","VC1 - Code Change, VC2 - Name Change",12012,"Supervisors, library, correspondence and related information workers",
1214,"Supervisors, mail and message distribution occupations","VC1 - Code Change, VC2 - Name Change",72025,"Supervisors, mail and message distribution occupations",
1215,"Supervisors, supply chain, tracking and scheduling co-ordination occupations","RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",12013,"Supervisors, supply chain, tracking and scheduling coordination occupations",1215 continues as 12013 and part transferred to 13201 and 74202
1215,"Supervisors, supply chain, tracking and scheduling co-ordination occupations","RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",13201,Production and transportation logistics coordinators,1215 continues as 12013 and part transferred to 13201 and 74202
1215,"Supervisors, supply chain, tracking and scheduling co-ordination occupations","RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",74202,Air transport ramp attendants,1215 continues as 12013 and part transferred to 13201 and 74202
1221,Administrative officers,"VC1 - Code Change, VC2 - Name Change",13100,Administrative officers,
1222,Executive assistants,"VC1 - Code Change, VC2 - Name Change",12100,Executive assistants,
1223,Human resources and recruitment officers,"VC1 - Code Change, VC2 - Name Change",12101,Human resources and recruitment officers,
1224,Property administrators,"VC1 - Code Change, VC2 - Name Change",13101,Property administrators,
1225,Purchasing agents and officers,"VC1 - Code Change, VC2 - Name Change",12102,Procurement and purchasing agents and officers,
1226,Conference and event planners,"VC1 - Code Change, VC2 - Name Change",12103,Conference and event planners,
1227,Court officers and justices of the peace,"RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",10019,Other administrative services managers,1227 continues as 14103 and part transferred to 10019 and 42200
1227,Court officers and justices of the peace,"RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",14103,Court clerks and related court services occupations,1227 continues as 14103 and part transferred to 10019 and 42200
1227,Court officers and justices of the peace,"RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",42200,Paralegals and related occupations,1227 continues as 14103 and part transferred to 10019 and 42200
1228,"Employment insurance, immigration, border services and revenue officers","RC4.2 - Split off, VC1 - Code Change, VC2 - Name Change",12104,Employment insurance and revenue officers,1228 continues as 43203 and part split off to emerging item 12104
1228,"Employment insurance, immigration, border services and revenue officers","RC4.2 - Split off, VC1 - Code Change, VC2 - Name Change",43203,"Border services, customs, and immigration officers",1228 continues as 43203 and part split off to emerging item 12104
1241,Administrative assistants,"VC1 - Code Change, VC2 - Name Change",13110,Administrative assistants,
1242,Legal administrative assistants,"VC1 - Code Change, VC2 - Name Change",13111,Legal administrative assistants,
1243,Medical administrative assistants,"VC1 - Code Change, VC2 - Name Change",13112,Medical administrative assistants,
1251,"Court reporters, medical transcriptionists and related occupations","VC1 - Code Change, VC2 - Name Change",12110,"Court reporters, medical transcriptionists and related occupations",
1252,Health information management occupations,"VC1 - Code Change, VC2 - Name Change",12111,Health information management occupations,
1253,Records management technicians,"RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",12111,Health information management occupations,1253 continues as 12112 and part transferred to 12111
1253,Records management technicians,"RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",12112,Records management technicians,1253 continues as 12112 and part transferred to 12111
1254,Statistical officers and related research support occupations,"VC1 - Code Change, VC2 - Name Change",12113,Statistical officers and related research support occupations,
1311,Accounting technicians and bookkeepers,"VC1 - Code Change, VC2 - Name Change",12200,Accounting technicians and bookkeepers,
1312,Insurance adjusters and claims examiners,"VC1 - Code Change, VC2 - Name Change",12201,Insurance adjusters and claims examiners,
1313,Insurance underwriters,"VC1 - Code Change, VC2 - Name Change",12202,Insurance underwriters,
1314,"Assessors, valuators and appraisers","VC1 - Code Change, VC2 - Name Change",12203,"Assessors, business valuators and appraisers",
1315,"Customs, ship and other brokers","VC1 - Code Change, VC2 - Name Change",13200,"Customs, ship and other brokers",
1411,General office support workers,"VC1 - Code Change, VC2 - Name Change",14100,General office support workers,
1414,Receptionists,"VC1 - Code Change, VC2 - Name Change",14101,Receptionists,
1415,Personnel clerks,"VC1 - Code Change, VC2 - Name Change",14102,Personnel clerks,
1416,Court clerks,"VC1 - Code Change, VC2 - Name Change",14103,Court clerks and related court services occupations,
1422,Data entry clerks,"VC1 - Code Change, VC2 - Name Change",14111,Data entry clerks,
1423,Desktop publishing operators and related occupations,"VC1 - Code Change, VC2 - Name Change",14112,Desktop publishing operators and related occupations,
1431,Accounting and related clerks,"VC1 - Code Change, VC2 - Name Change",14200,Accounting and related clerks,
1432,Payroll administrators,"VC1 - Code Change, VC2 - Name Change",13102,Payroll administrators,
1434,"Banking, insurance and other financial clerks","VC1 - Code Change, VC2 - Name Change",14201,"Banking, insurance and other financial clerks",
1435,Collectors,"VC1 - Code Change, VC2 - Name Change",14202,Collection clerks,
1451,Library assistants and clerks,"VC1 - Code Change, VC2 - Name Change",14300,Library assistants and clerks,
1452,"Correspondence, publication and regulatory clerks","VC1 - Code Change, VC2 - Name Change",14301,"Correspondence, publication and regulatory clerks",
1454,Survey interviewers and statistical clerks,"VC1 - Code Change, VC2 - Name Change",14110,Survey interviewers and statistical clerks,
1511,"Mail, postal and related workers","RC4.2 - Split off, VC1 - Code Change, VC2 - Name Change",64401,Postal services representatives,1511 continues as 64401 and part split off to emerging item 74100
1511,"Mail, postal and related workers","RC4.2 - Split off, VC1 - Code Change, VC2 - Name Change",74100,Mail and parcel sorters and related occupations,1511 continues as 64401 and part split off to emerging item 74100
1512,Letter carriers,"VC1 - Code Change, VC2 - Name Change",74101,Letter carriers,
1513,"Couriers, messengers and door-to-door distributors","RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",74102,Couriers and messengers,1513 continues as 74102 and part transferred to 75201
1513,"Couriers, messengers and door-to-door distributors","RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",75201,Delivery service drivers and door-to-door distributors,1513 continues as 74102 and part transferred to 75201
1521,Shippers and receivers,"VC1 - Code Change, VC2 - Name Change",14400,Shippers and receivers,
1522,Storekeepers and partspersons,"VC1 - Code Change, VC2 - Name Change",14401,Storekeepers and partspersons,
1523,Production logistics co-ordinators,"RC4.2 - Split off, VC1 - Code Change, VC2 - Name Change",13201,Production and transportation logistics coordinators,1523 continues as 13201 and part split off to emerging item 14402
1523,Production logistics co-ordinators,"RC4.2 - Split off, VC1 - Code Change, VC2 - Name Change",14402,Production logistics workers,1523 continues as 13201 and part split off to emerging item 14402
1524,Purchasing and inventory control workers,"VC1 - Code Change, VC2 - Name Change",14403,Purchasing and inventory control workers,
1525,Dispatchers,"RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",13201,Production and transportation logistics coordinators,1525 continues as 14404 and part transferred to 13201
1525,Dispatchers,"RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",14404,Dispatchers,1525 continues as 14404 and part transferred to 13201
1526,Transportation route and crew schedulers,"VC1 - Code Change, VC2 - Name Change",14405,Transportation route and crew schedulers,
2111,Physicists and astronomers,"VC1 - Code Change, VC2 - Name Change",21100,Physicists and astronomers,
2112,Chemists,"VC1 - Code Change, VC2 - Name Change",21101,Chemists,
2113,Geoscientists and oceanographers,"VC1 - Code Change, VC2 - Name Change",21102,Geoscientists and oceanographers,
2114,Meteorologists and climatologists,"VC1 - Code Change, VC2 - Name Change",21103,Meteorologists and climatologists,
2115,Other professional occupations in physical sciences,"VC1 - Code Change, VC2 - Name Change",21109,Other professional occupations in physical sciences,
2121,Biologists and related scientists,"VC1 - Code Change, VC2 - Name Change",21110,Biologists and related scientists,
2122,Forestry professionals,"VC1 - Code Change, VC2 - Name Change",21111,Forestry professionals,
2123,"Agricultural representatives, consultants and specialists","VC1 - Code Change, VC2 - Name Change",21112,"Agricultural representatives, consultants and specialists",
2131,Civil engineers,"VC1 - Code Change, VC2 - Name Change",21300,Civil engineers,
2132,Mechanical engineers,"VC1 - Code Change, VC2 - Name Change",21301,Mechanical engineers,
2133,Electrical and electronics engineers,"VC1 - Code Change, VC2 - Name Change",21310,Electrical and electronics engineers,
2134,Chemical engineers,"VC1 - Code Change, VC2 - Name Change",21320,Chemical engineers,
2141,Industrial and manufacturing engineers,"VC1 - Code Change, VC2 - Name Change",21321,Industrial and manufacturing engineers,
2142,Metallurgical and materials engineers,"VC1 - Code Change, VC2 - Name Change",21322,Metallurgical and materials engineers,
2143,Mining engineers,"VC1 - Code Change, VC2 - Name Change",21330,Mining engineers,
2144,Geological engineers,"VC1 - Code Change, VC2 - Name Change",21331,Geological engineers,
2145,Petroleum engineers,"VC1 - Code Change, VC2 - Name Change",21332,Petroleum engineers,
2146,Aerospace engineers,"VC1 - Code Change, VC2 - Name Change",21390,Aerospace engineers,
2147,Computer engineers (except software engineers and designers),"VC1 - Code Change, VC2 - Name Change",21311,Computer engineers (except software engineers and designers),
2148,"Other professional engineers, n.e.c.","VC1 - Code Change, VC2 - Name Change",21399,Other professional engineers,
2151,Architects,"VC1 - Code Change, VC2 - Name Change",21200,Architects,
2152,Landscape architects,"VC1 - Code Change, VC2 - Name Change",21201,Landscape architects,
2153,Urban and land use planners,"VC1 - Code Change, VC2 - Name Change",21202,Urban and land use planners,
2154,Land surveyors,"VC1 - Code Change, VC2 - Name Change",21203,Land surveyors,
2161,"Mathematicians, statisticians and actuaries","VC1 - Code Change, VC2 - Name Change",21210,"Mathematicians, statisticians and actuaries",
2171,Information systems analysts and consultants,"RC4.2 - Split off, VC1 - Code Change, VC2 - Name Change",21211,Data scientists,"2171 continues 21222 and part split off to emerging items 21211, 21220, 21221 and 21233"
2171,Information systems analysts and consultants,"RC4.2 - Split off, VC1 - Code Change, VC2 - Name Change",21220,Cybersecurity specialists,"2171 continues 21222 and part split off to emerging items 21211, 21220, 21221 and 21233"
2171,Information systems analysts and consultants,"RC4.2 - Split off, VC1 - Code Change, VC2 - Name Change",21221,Business systems specialists,"2171 continues 21222 and part split off to emerging items 21211, 21220, 21221 and 21233"
2171,Information systems analysts and consultants,"RC4.2 - Split off, VC1 - Code Change, VC2 - Name Change",21222,Information systems specialists,"2171 continues 21222 and part split off to emerging items 21211, 21220, 21221 and 21233"
2171,Information systems analysts and consultants,"RC4.2 - Split off, VC1 - Code Change, VC2 - Name Change",21233,Web designers,"2171 continues 21222 and part split off to emerging items 21211, 21220, 21221 and 21233"
2172,Database analysts and data administrators,"RC4.2 - Split off, VC1 - Code Change, VC2 - Name Change",21211,Data scientists,2172 continues as 21223 and part split off to emerging item 21211
2172,Database analysts and data administrators,"RC4.2 - Split off, VC1 - Code Change, VC2 - Name Change",21223,Database analysts and data administrators,2172 continues as 21223 and part split off to emerging item 21211
2173,Software engineers and designers,"RC4.2 - Split off, VC1 - Code Change, VC2 - Name Change",21211,Data scientists,2173 continues as 21231 and part split off to emerging item 21211
2173,Software engineers and designers,"RC4.2 - Split off, VC1 - Code Change, VC2 - Name Change",21231,Software engineers and designers,2173 continues as 21231 and part split off to emerging item 21211
2174,Computer programmers and interactive media developers,"RC4.2 - Split off, RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",21230,Computer systems developers and programmers,2174 continues as 21230 and part transferred to 21234 and part split off to emerging item 21232
2174,Computer programmers and interactive media developers,"RC4.2 - Split off, VC1 - Code Change, VC2 - Name Change",21232,Software developers and programmers,2174 continues as 21230 and part transferred to 21234 and part split off to emerging item 21232
2174,Computer programmers and interactive media developers,"RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",21234,Web developers and programmers,2174 continues as 21230 and part transferred to 21234 and part split off to emerging item 21232
2175,Web designers and developers,"RC4.2 - Split off, VC1 - Code Change, VC2 - Name Change",21233,Web designers,2175 continues as 21234 and part split off to emerging item 21233
2175,Web designers and developers,"RC4.2 - Split off, VC1 - Code Change, VC2 - Name Change",21234,Web developers and programmers,2175 continues as 21234 and part split off to emerging item 21233
2211,Chemical technologists and technicians,"VC1 - Code Change, VC2 - Name Change",22100,Chemical technologists and technicians,
2212,Geological and mineral technologists and technicians,"VC1 - Code Change, VC2 - Name Change",22101,Geological and mineral technologists and technicians,
2221,Biological technologists and technicians,"VC1 - Code Change, VC2 - Name Change",22110,Biological technologists and technicians,
2222,Agricultural and fish products inspectors,"VC1 - Code Change, VC2 - Name Change",22111,Agricultural and fish products inspectors,
2223,Forestry technologists and technicians,"VC1 - Code Change, VC2 - Name Change",22112,Forestry technologists and technicians,
2224,Conservation and fishery officers,"VC1 - Code Change, VC2 - Name Change",22113,Conservation and fishery officers,
2225,Landscape and horticulture technicians and specialists,"VC1 - Code Change, VC2 - Name Change",22114,Landscape and horticulture technicians and specialists,
2231,Civil engineering technologists and technicians,"VC1 - Code Change, VC2 - Name Change",22300,Civil engineering technologists and technicians,
2232,Mechanical engineering technologists and technicians,"VC1 - Code Change, VC2 - Name Change",22301,Mechanical engineering technologists and technicians,
2233,Industrial engineering and manufacturing technologists and technicians,"VC1 - Code Change, VC2 - Name Change",22302,Industrial engineering and manufacturing technologists and technicians,
2234,Construction estimators,"VC1 - Code Change, VC2 - Name Change",22303,Construction estimators,
2241,Electrical and electronics engineering technologists and technicians,"VC1 - Code Change, VC2 - Name Change",22310,Electrical and electronics engineering technologists and technicians,
2242,Electronic service technicians (household and business equipment),"VC1 - Code Change, VC2 - Name Change",22311,Electronic service technicians (household and business equipment),
2243,Industrial instrument technicians and mechanics,"VC1 - Code Change, VC2 - Name Change",22312,Industrial instrument technicians and mechanics,
2244,"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors","VC1 - Code Change, VC2 - Name Change",22313,"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",
2251,Architectural technologists and technicians,"VC1 - Code Change, VC2 - Name Change",22210,Architectural technologists and technicians,
2252,Industrial designers,"VC1 - Code Change, VC2 - Name Change",22211,Industrial designers,
2253,Drafting technologists and technicians,"VC1 - Code Change, VC2 - Name Change",22212,Drafting technologists and technicians,
2254,Land survey technologists and technicians,"VC1 - Code Change, VC2 - Name Change",22213,Land survey technologists and technicians,
2255,Technical occupations in geomatics and meteorology,"VC1 - Code Change, VC2 - Name Change",22214,Technical occupations in geomatics and meteorology,
2261,Non-destructive testers and inspection technicians,"VC1 - Code Change, VC2 - Name Change",22230,Non-destructive testers and inspectors,
2262,Engineering inspectors and regulatory officers,"VC1 - Code Change, VC2 - Name Change",22231,Engineering inspectors and regulatory officers,
2263,Inspectors in public and environmental health and occupational health and safety,"RC4.1 - Breakdown, VC1 - Code Change, VC2 - Name Change",21120,Public and environmental health and safety professionals,2263 distributed between emerging items 21120 and 22232
2263,Inspectors in public and environmental health and occupational health and safety,"RC4.1 - Breakdown, VC1 - Code Change, VC2 - Name Change",22232,Occupational health and safety specialists,2263 distributed between emerging items 21120 and 22232
2264,Construction inspectors,"VC1 - Code Change, VC2 - Name Change",22233,Construction inspectors,
2271,"Air pilots, flight engineers and flying instructors","VC1 - Code Change, VC2 - Name Change",72600,"Air pilots, flight engineers and flying instructors",
2272,Air traffic controllers and related occupations,"VC1 - Code Change, VC2 - Name Change",72601,Air traffic controllers and related occupations,
2273,"Deck officers, water transport","VC1 - Code Change, VC2 - Name Change",72602,"Deck officers, water transport",
2274,"Engineer officers, water transport","VC1 - Code Change, VC2 - Name Change",72603,"Engineer officers, water transport",
2275,Railway traffic controllers and marine traffic regulators,"VC1 - Code Change, VC2 - Name Change",72604,Railway traffic controllers and marine traffic regulators,
2281,Computer network technicians,"VC1 - Code Change, VC2 - Name Change",22220,Computer network and web technicians,
2282,User support technicians,"VC1 - Code Change, VC2 - Name Change",22221,User support technicians,
2283,Information systems testing technicians,"VC1 - Code Change, VC2 - Name Change",22222,Information systems testing technicians,
3011,Nursing co-ordinators and supervisors,"VC1 - Code Change, VC2 - Name Change",31300,Nursing coordinators and supervisors,
3012,Registered nurses and registered psychiatric nurses,"VC1 - Code Change, VC2 - Name Change",31301,Registered nurses and registered psychiatric nurses,
3111,Specialist physicians,"RC4.2 - Split off, VC1 - Code Change, VC2 - Name Change",31100,Specialists in clinical and laboratory medicine,3111 continues as 31100 and part split off to emerging items 31101 and 41310
3111,Specialist physicians,"RC4.2 - Split off, VC1 - Code Change, VC2 - Name Change",31101,Specialists in surgery,3111 continues as 31100 and part split off to emerging items 31101 and 41310
3111,Specialist physicians,"RC4.2 - Split off, VC1 - Code Change, VC2 - Name Change",41310,Police investigators and other investigative occupations,3111 continues as 31100 and part split off to emerging items 31101 and 41310
3112,General practitioners and family physicians,"VC1 - Code Change, VC2 - Name Change",31102,General practitioners and family physicians,
3113,Dentists,"VC1 - Code Change, VC2 - Name Change",31110,Dentists,
3114,Veterinarians,"VC1 - Code Change, VC2 - Name Change",31103,Veterinarians,
3121,Optometrists,"VC1 - Code Change, VC2 - Name Change",31111,Optometrists,
3122,Chiropractors,"VC1 - Code Change, VC2 - Name Change",31201,Chiropractors,
3124,Allied primary health practitioners,"RC4.2 - Split off, VC1 - Code Change, VC2 - Name Change",31302,Nurse practitioners,3124 continues as 31303 and part transferred to 32103 and part split off to emerging item 31302
3124,Allied primary health practitioners,"RC4.2 - Split off, RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",31303,"Physician assistants, midwives and allied health professionals",3124 continues as 31303 and part transferred to 32103 and part split off to emerging item 31302
3124,Allied primary health practitioners,"RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",32103,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",3124 continues as 31303 and part transferred to 32103 and part split off to emerging item 31302
3125,Other professional occupations in health diagnosing and treating,"RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",31209,Other professional occupations in health diagnosing and treating,3125 continues as 31209 and part transferred to 31303
3125,Other professional occupations in health diagnosing and treating,"RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",31303,"Physician assistants, midwives and allied health professionals",3125 continues as 31209 and part transferred to 31303
3131,Pharmacists,"VC1 - Code Change, VC2 - Name Change",31120,Pharmacists,
3132,Dietitians and nutritionists,"VC1 - Code Change, VC2 - Name Change",31121,Dietitians and nutritionists,
3141,Audiologists and speech-language pathologists,"VC1 - Code Change, VC2 - Name Change",31112,Audiologists and speech-language pathologists,
3142,Physiotherapists,"RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",31202,Physiotherapists,3142 continues as 31202 and part transferred to 32109
3142,Physiotherapists,"RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",32109,Other technical occupations in therapy and assessment,3142 continues as 31202 and part transferred to 32109
3143,Occupational therapists,"VC1 - Code Change, VC2 - Name Change",31203,Occupational therapists,
3144,Other professional occupations in therapy and assessment,"RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",31204,Kinesiologists and other professional occupations in therapy and assessment,3144 continues as 31204 and part transferred to 41301
3144,Other professional occupations in therapy and assessment,"RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",41301,Therapists in counselling and related specialized therapies,3144 continues as 31204 and part transferred to 41301
3211,Medical laboratory technologists,"VC1 - Code Change, VC2 - Name Change",32120,Medical laboratory technologists,
3212,Medical laboratory technicians and pathologists' assistants,"RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",31303,"Physician assistants, midwives and allied health professionals",3212 continues as 33101 and part transferred to 31303 and 32120
3212,Medical laboratory technicians and pathologists' assistants,"RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",32120,Medical laboratory technologists,3212 continues as 33101 and part transferred to 31303 and 32120
3212,Medical laboratory technicians and pathologists' assistants,"RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",33101,Medical laboratory assistants and related technical occupations,3212 continues as 33101 and part transferred to 31303 and 32120
3213,Animal health technologists and veterinary technicians,"VC1 - Code Change, VC2 - Name Change",32104,Animal health technologists and veterinary technicians,
3214,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists","VC1 - Code Change, VC2 - Name Change",32103,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",
